product_code,product_name,material_name,qty
A247,ANEKA SQUARE PUFF,Amonium Bikarbonat,15
A247,ANEKA SQUARE PUFF,Ekstrak Malt,15
A247,ANEKA SQUARE PUFF,Garam Halus,25
A247,ANEKA SQUARE PUFF,Gula Pasir,1000
A247,ANEKA SQUARE PUFF,Lemak Reroti,800
A247,ANEKA SQUARE PUFF,Minyak Nabati,1500
A247,ANEKA SQUARE PUFF,Ragi,8
A247,ANEKA SQUARE PUFF,Susu Bubuk Full Cream,200
A247,ANEKA SQUARE PUFF,Telur Bubuk,50
A247,ANEKA SQUARE PUFF,Tepung Tapioka,200
A247,ANEKA SQUARE PUFF,Tepung Terigu,5000
K107,BUTTER COCONUT 100 GR,Amonium Bikarbonat,15
K107,BUTTER COCONUT 100 GR,Garam Halus,20
K107,BUTTER COCONUT 100 GR,Gula Pasir,1500
K107,BUTTER COCONUT 100 GR,Kelapa Kering,500
K107,BUTTER COCONUT 100 GR,Minyak Nabati,1200
K107,BUTTER COCONUT 100 GR,Natrium Bikarbonat,15
K107,BUTTER COCONUT 100 GR,Perisa Sintetik Kelapa,10
K107,BUTTER COCONUT 100 GR,Perisa Sintetik Vanila,5
K107,BUTTER COCONUT 100 GR,Susu Bubuk Full Cream,200
K107,BUTTER COCONUT 100 GR,Tepung Tapioka,300
K107,BUTTER COCONUT 100 GR,Tepung Terigu,5000
A251,ANEKA CREAM CRACKERS,Amonium Bikarbonat,15
A251,ANEKA CREAM CRACKERS,Ekstrak Malt,15
A251,ANEKA CREAM CRACKERS,Garam Halus,25
A251,ANEKA CREAM CRACKERS,Lemak Reroti,800
A251,ANEKA CREAM CRACKERS,Minyak Nabati,1500
A251,ANEKA CREAM CRACKERS,Ragi,8
A251,ANEKA CREAM CRACKERS,Susu Bubuk Full Cream,200
A251,ANEKA CREAM CRACKERS,Telur Bubuk,50
A251,ANEKA CREAM CRACKERS,Tepung Tapioka,200
A251,ANEKA CREAM CRACKERS,Tepung Terigu,5000
A402,ROASTED CORN 35 gr,Amonium Bikarbonat,5
A402,ROASTED CORN 35 gr,Garam Halus,1
A402,ROASTED CORN 35 gr,Gula Pasir,10
A402,ROASTED CORN 35 gr,Minyak Nabati,15
A402,ROASTED CORN 35 gr,Natrium Bikarbonat,5
A402,ROASTED CORN 35 gr,Perisa Sintetik Jagung Bakar,2
A402,ROASTED CORN 35 gr,Susu Bubuk Full Cream,5
A402,ROASTED CORN 35 gr,Tepung Tapioka,5
A402,ROASTED CORN 35 gr,Tepung Terigu,50
A243,ROASTED CORN,Amonium Bikarbonat,10
A243,ROASTED CORN,Garam Halus,25
A243,ROASTED CORN,Gula Pasir,800
A243,ROASTED CORN,Kelapa Kering,100
A243,ROASTED CORN,Minyak Nabati,1000
A243,ROASTED CORN,Natrium Bikarbonat,10
A243,ROASTED CORN,Perisa Sintetik Kelapa,15
A243,ROASTED CORN,Perisa Sintetik Vanila,10
A243,ROASTED CORN,Susu Bubuk Full Cream,150
A243,ROASTED CORN,Tepung Tapioka,200
A243,ROASTED CORN,Tepung Terigu,4500
A280,CRISPY CRACKERS,Plastik Kemasan,1
A280,CRISPY CRACKERS,Pewarna Ponceau 4R,1
M300,GABIN MASTER,Amonium Bikarbonat,20
M300,GABIN MASTER,Garam Halus,20
M300,GABIN MASTER,Gula Pasir,1000
M300,GABIN MASTER,Lemak Reroti,500
M300,GABIN MASTER,Minyak Nabati,1200
M300,GABIN MASTER,Natrium Bikarbonat,20
M300,GABIN MASTER,Perisa Sintetik Susu,20
M300,GABIN MASTER,Perisa Sintetik Vanila,15
M300,GABIN MASTER,Susu Bubuk Full Cream,300
M300,GABIN MASTER,Tepung Tapioka,150
M300,GABIN MASTER,Tepung Terigu,5500
K100,MARIE SUSU,Plastik Kemasan,1
K100,MARIE SUSU,Pewarna Ponceau 4R,1
K123,WAFER CHOCOLATE,Plastik Kemasan,1
K123,WAFER CHOCOLATE,Pewarna Ponceau 4R,1
K400,DURIAN STICK,Plastik Kemasan,1
K400,DURIAN STICK,Pewarna Ponceau 4R,1
A602,CRISPY CRACKERS MINI,Gula Pasir,50
A602,CRISPY CRACKERS MINI,Lemak Reroti,50
A602,CRISPY CRACKERS MINI,Minyak Nabati,50
A602,CRISPY CRACKERS MINI,Perisa Sintetik Cokelat,50
A602,CRISPY CRACKERS MINI,Susu Bubuk Full Cream,50
A602,CRISPY CRACKERS MINI,Tepung Tapioka,50
A602,CRISPY CRACKERS MINI,Tepung Terigu,50
A300,ROASTED CORN,Gula Pasir,50
A300,ROASTED CORN,Minyak Nabati,50
A300,ROASTED CORN,Perisa Sintetik Jagung Bakar,50
A300,ROASTED CORN,Susu Bubuk Full Cream,50
A300,ROASTED CORN,Tepung Tapioka,50
A300,ROASTED CORN,Tepung Terigu,50
A213,MARIE SUSU,Gula Pasir,50
A213,MARIE SUSU,Minyak Nabati,50
A213,MARIE SUSU,Perisa Sintetik Susu,50
A213,MARIE SUSU,Susu Bubuk Full Cream,50
A213,MARIE SUSU,Tepung Tapioka,50
A213,MARIE SUSU,Tepung Terigu,50
K802,BUTTER COCONUT,Gula Pasir,50
K802,BUTTER COCONUT,Minyak Nabati,50
K802,BUTTER COCONUT,Susu Bubuk Full Cream,50
K802,BUTTER COCONUT,Tepung Tapioka,50
K802,BUTTER COCONUT,Tepung Terigu,50
A614,CRISPY CRACKERS TIN,Lemak Reroti,50
A614,CRISPY CRACKERS TIN,Minyak Nabati,50
A614,CRISPY CRACKERS TIN,Susu Bubuk Full Cream,50
A614,CRISPY CRACKERS TIN,Tepung Tapioka,50
A614,CRISPY CRACKERS TIN,Tepung Terigu,50
K103,ROSE CHOCOLATE,Plastik Kemasan,1
K103,ROSE CHOCOLATE,Pewarna Ponceau 4R,1
K127,WAFER PANDAN,Plastik Kemasan,1
K127,WAFER PANDAN,Pewarna Ponceau 4R,1
K102,ROSE CREAM,Plastik Kemasan,1
K102,ROSE CREAM,Pewarna Ponceau 4R,1
K801,COCOA PUFF,Gula Pasir,50
K801,COCOA PUFF,Minyak Nabati,50
K801,COCOA PUFF,Susu Bubuk Full Cream,50
K801,COCOA PUFF,Tepung Tapioka,50
K801,COCOA PUFF,Tepung Terigu,50
K126,WAFER STRAWBERRY,Plastik Kemasan,1
K126,WAFER STRAWBERRY,Pewarna Ponceau 4R,1
